127.0.0.1 - - [30/Jun/2017:02:03:35 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:35 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:03:55 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:02 +0530] "GET /FrontEndProjectTwo/views/JobForm.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:04:50 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:04 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:16 +0530] "POST /BackEndProjectTwo/login HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:06:34 +0530] "GET /FrontEndProjectTwo/views/JobForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:11:54 +0530] "GET /FrontEndProjectTwo/views/JobForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2017:02:12:57 +0530] "POST /BackEndProjectTwo/savejob HTTP/1.1" 200 -
