127.0.0.1 - - [01/Jul/2017:12:49:43 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:44 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:54 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:49:59 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:52:24 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:52:24 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:52:24 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:52:24 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:52:26 +0530] "GET /FrontEndProjectTwo/views/JobTitles.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:54:14 +0530] "GET /BackEndProjectTwo/getalljobs HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [01/Jul/2017:12:56:39 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
