127.0.0.1 - - [01/Aug/2017:20:49:41 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/services/messageservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /FrontEndProjectTwo/controllers/messagecontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:42 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:43 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:43 +0530] "GET /FrontEndProjectTwo/images/students.jpg HTTP/1.1" 200 1200389
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:43 +0530] "GET /FrontEndProjectTwo/images/studentsedited.jpg HTTP/1.1" 200 470539
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/ HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/services/messageservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/controllers/messagecontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/services/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/controllers/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/views/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/controllers/wallcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/views/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:53 +0530] "GET /FrontEndProjectTwo/images/studentsedited.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:49:54 +0530] "GET /BackEndProjectTwo/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Aug/2017:20:52:34 +0530] "GET /BackEndProjectTwo/getuserdetails HTTP/1.1" 401 51
